V1,V2
AT1G69010,AT1G69020
AT1G69325,AT1G69330
AT1G69470,AT1G69480
AT1G70209,AT1G70210
AT1G70330,AT1G70335
AT1G70470,AT1G70475
AT1G70949,AT1G70950
AT1G71300,AT1G71310
AT1G71480,AT1G71490
AT1G71690,AT1G71691
AT1G71740,AT1G71750
AT1G72660,AT1G72670
AT1G72750,AT1G72755
AT1G73130,AT1G73140
AT1G73440,AT1G73445
AT1G74055,AT1G74060
AT1G74390,AT1G74400
AT1G74670,AT1G74675
AT1G74750,AT1G74770
AT1G74900,AT1G74910
AT1G74929,AT1G74930
AT1G75440,AT1G75450
AT1G75690,AT1G75700
AT1G75780,AT1G75785
AT1G76050,AT1G76060
AT1G76450,AT1G76460
AT1G76530,AT1G76540
AT1G76750,AT1G76760
AT1G76780,AT1G76790
AT1G77270,AT1G77280
AT1G78890,AT1G78895
AT1G78910,AT1G78915
AT1G78970,AT1G78980
AT1G79270,AT1G79280
AT1G79380,AT1G79390
AT1G80160,AT1G80165
AT1G80840,AT1G80850
AT1G80890,AT1G80900
AT1G80950,AT1G80960
AT2G01280,AT2G01290
AT2G01340,AT2G01350
AT2G01400,AT2G01410
AT2G01750,AT2G01755
AT2G02450,AT2G02455
AT2G02497,AT2G02498
AT2G02630,AT2G02635
AT2G02740,AT2G02750
AT2G03270,AT2G03280
AT2G03567,AT2G03570
AT2G03620,AT2G03630
AT2G03823,AT2G03821
AT2G04039,AT2G04040
AT2G04378,AT2G04380
AT2G04620,AT2G04621
AT2G05753,AT2G05755
AT2G07729,AT2G07656
AT2G07655,AT2G07776
AT2G11240,AT2G11215
AT2G11850,AT2G11851
AT2G13430,AT2G13431
AT2G14940,AT2G14945
AT2G15630,AT2G15640
AT2G15900,AT2G15910
AT2G16020,AT2G16018
AT2G17140,AT2G17150
AT2G17690,AT2G17695
AT2G18460,AT2G18465
AT2G18720,AT2G18721
AT2G19060,AT2G19070
AT2G19280,AT2G19290
AT2G20635,AT2G20650
AT2G20820,AT2G20825
AT2G21590,AT2G21595
AT2G21940,AT2G21950
AT2G22000,AT2G22010
AT2G22088,AT2G22090
AT2G22125,AT2G22140
AT2G22520,AT2G22530
AT2G22730,AT2G22740
AT2G23200,AT2G23210
AT2G23740,AT2G23755
AT2G24010,AT2G24020
AT2G24180,AT2G24190
AT2G24350,AT2G24360
AT2G24440,AT2G24450
AT2G24960,AT2G24970
AT2G25050,AT2G25055
AT2G25270,AT2G25280
AT2G25950,AT2G25964
AT2G26270,AT2G26280
AT2G27600,AT2G27610
AT2G29430,AT2G29440
AT2G29480,AT2G29485
AT2G29590,AT2G29600
AT2G30620,AT2G30630
AT2G30760,AT2G30766
AT2G30910,AT2G30920
AT2G31018,AT2G31020
AT2G31141,AT2G31150
AT2G31530,AT2G31540
AT2G32280,AT2G32290
AT2G32645,AT2G32650
AT2G32670,AT2G32680
AT2G32890,AT2G32900
AT2G33160,AT2G33170
AT2G33300,AT2G33310
AT2G33450,AT2G33460
AT2G33620,AT2G33630
AT2G33685,AT2G33690
AT2G33793,AT2G33796
AT2G34100,AT2G34110
AT2G34100,AT2G34130
AT2G34325,AT2G34330
AT2G34910,AT2G34920
AT2G35550,AT2G35555
AT2G35930,AT2G35935
AT2G36026,AT2G36030
AT2G36355,AT2G36360
AT2G36850,AT2G36854
AT2G37330,AT2G37340
AT2G37680,AT2G37690
AT2G38570,AT2G38580
AT2G39910,AT2G39920
AT2G40160,AT2G40165
AT2G40720,AT2G40730
AT2G41340,AT2G41342
AT2G41490,AT2G41500
AT2G41510,AT2G41515
AT2G41590,AT2G41600
AT2G41705,AT2G41710
AT2G41750,AT2G41760
AT2G42120,AT2G42130
AT2G42150,AT2G42160
AT2G42270,AT2G42280
AT2G42940,AT2G42920
AT2G42990,AT2G43000
AT2G43310,AT2G43320
AT2G43340,AT2G43350
AT2G43550,AT2G43560
AT2G43840,AT2G43850
AT2G43890,AT2G43900
AT2G44750,AT2G44760
AT2G44850,AT2G44860
AT2G44880,AT2G44890
AT2G44993,AT2G45000
AT2G45320,AT2G45330
AT2G45720,AT2G45730
AT2G45940,AT2G45950
AT2G46100,AT2G46110
AT2G46200,AT2G46210
AT2G46225,AT2G46230
AT2G46450,AT2G46455
AT2G46567,AT2G46570
AT2G46910,AT2G46915
AT2G47170,AT2G47180
AT2G47200,AT2G47210
AT2G47380,AT2G47390
AT2G47550,AT2G47560
AT2G47780,AT2G47790
AT2G47935,AT2G47940
AT2G48070,AT2G48075
AT3G01250,AT3G01260
AT3G01280,AT3G01290
AT3G01470,AT3G01475
AT3G01610,AT3G01620
AT3G01990,AT3G02000
AT3G02250,AT3G02255
AT3G02500,AT3G02510
AT3G02690,AT3G02700
AT3G02780,AT3G02790
AT3G02840,AT3G02850
AT3G02970,AT3G02975
AT3G03800,AT3G03810
AT3G04440,AT3G04443
AT3G04710,AT3G04690
AT3G04890,AT3G04900
AT3G05010,AT3G05020
AT3G05250,AT3G05260
AT3G05310,AT3G05320
AT3G05740,AT3G05741
AT3G06019,AT3G06020
AT3G07500,AT3G07510
AT3G07970,AT3G07980
AT3G08890,AT3G08900
AT3G09230,AT3G09240
AT3G09660,AT3G09670
AT3G10140,AT3G10150
AT3G10180,AT3G10185
AT3G10220,AT3G10230
AT3G10400,AT3G10405
AT3G11830,AT3G11840
AT3G12020,AT3G12030
AT3G12190,AT3G12200
AT3G12210,AT3G12220
AT3G12660,AT3G12670
AT3G12990,AT3G13000
AT3G13610,AT3G13620
AT3G13674,AT3G13677
AT3G13770,AT3G13772
AT3G13782,AT3G13784
AT3G14100,AT3G14110
AT3G14340,AT3G14350
AT3G14890,AT3G14900
AT3G14980,AT3G14981
AT3G15060,AT3G15070
AT3G15190,AT3G15200
AT3G15380,AT3G15390
AT3G15518,AT3G15520
AT3G15870,AT3G15880
AT3G15920,AT3G15930
AT3G16040,AT3G16050
AT3G16175,AT3G16180
AT3G16460,AT3G16470
AT3G17380,AT3G17390
AT3G17650,AT3G17655
AT3G18240,AT3G18250
AT3G18300,AT3G18310
AT3G18915,AT3G18930
AT3G19240,AT3G19250
AT3G19613,AT3G19615
AT3G19680,AT3G19690
AT3G20350,AT3G20360
AT3G21100,AT3G21110
AT3G21200,AT3G21210
AT3G21220,AT3G21230
AT3G21280,AT3G21290
AT3G21360,AT3G21370
AT3G21810,AT3G21820
AT3G22183,AT3G22190
AT3G22520,AT3G22530
AT3G22670,AT3G22680
AT3G22780,AT3G22790
AT3G23070,AT3G23080
AT3G23350,AT3G23360
AT3G23860,AT3G23870
AT3G24495,AT3G24500
AT3G24516,AT3G24514
AT3G24570,AT3G24575
AT3G24715,AT3G24730
AT3G25013,AT3G25014
AT3G26350,AT3G26355
AT3G26470,AT3G26480
AT3G26510,AT3G26512
AT3G26680,AT3G26690
AT3G27415,AT3G27416
AT3G27475,AT3G27480
AT3G27690,AT3G27700
AT3G27720,AT3G27730
AT3G27750,AT3G27770
AT3G27809,AT3G27810
AT3G27830,AT3G27831
AT3G28370,AT3G28380
AT3G29320,AT3G29330
AT3G31993,AT3G31996
AT3G32380,AT3G32383
AT3G43358,AT3G43359
AT3G44050,AT3G44060
AT3G44630,AT3G44635
AT3G44830,AT3G44840
AT3G45880,AT3G45890
AT3G46220,AT3G46230
AT3G46290,AT3G46300
AT3G46520,AT3G46530
AT3G47440,AT3G47450
AT3G48298,AT3G48300
AT3G48320,AT3G48330
AT3G50430,AT3G50440
AT3G50950,AT3G50960
AT3G51390,AT3G51400
AT3G51970,AT3G51980
AT3G52030,AT3G52040
AT3G52080,AT3G52090
AT3G52105,AT3G52110
AT3G52380,AT3G52390
AT3G52470,AT3G52480
AT3G52530,AT3G52526
AT3G52710,AT3G52700
AT3G53090,AT3G53100
AT3G53580,AT3G53590
AT3G54080,AT3G54085
AT3G54980,AT3G54990
AT3G55310,AT3G55320
AT3G55830,AT3G55840
AT3G55890,AT3G55900
AT3G56030,AT3G56040
AT3G56540,AT3G56550
AT3G56840,AT3G56850
AT3G57620,AT3G57630
AT3G57910,AT3G57920
AT3G58100,AT3G58110
AT3G58130,AT3G58140
AT3G58510,AT3G58520
AT3G58590,AT3G58600
AT3G58710,AT3G58720
AT3G59110,AT3G59120
AT3G59300,AT3G59310
AT3G59940,AT3G59950
AT3G59970,AT3G59980
AT3G60150,AT3G60160
AT3G60730,AT3G60740
AT3G60910,AT3G60920
AT3G61160,AT3G61170
AT3G61300,AT3G61310
AT3G61530,AT3G61540
AT3G61560,AT3G61570
AT3G61610,AT3G61620
AT3G63490,AT3G63500
AT4G00490,AT4G00500
AT4G00525,AT4G00530
AT4G00850,AT4G00860
AT4G00889,AT4G00890
AT4G01690,AT4G01700
AT4G01790,AT4G01800
AT4G01895,AT4G01897
AT4G02400,AT4G02405
AT4G03070,AT4G03080
AT4G03140,AT4G03150
AT4G03180,AT4G03190
AT4G03260,AT4G03270
AT4G03410,AT4G03415
AT4G03500,AT4G03490
AT4G03620,AT4G03625
AT4G04470,AT4G04480
AT4G05190,AT4G05200
AT4G05450,AT4G05460
AT4G08455,AT4G08460
AT4G08780,AT4G08790
AT4G10640,AT4G10650
AT4G10720,AT4G10730
AT4G10750,AT4G10760
AT4G11070,AT4G11080
AT4G11373,AT4G11375
AT4G11660,AT4G11670
AT4G12005,AT4G12010
AT4G12390,AT4G12400
AT4G14120,AT4G14130
AT4G14180,AT4G14190
AT4G14358,AT4G14360
AT4G15030,AT4G15040
AT4G15475,AT4G15480
AT4G15720,AT4G15730
AT4G16400,AT4G16410
AT4G16430,AT4G16440
AT4G16510,AT4G16515
AT4G16950,AT4G16955
AT4G17243,AT4G17245
AT4G18050,AT4G18060
AT4G18197,AT4G18203
AT4G18210,AT4G18215
AT4G18395,AT4G18400
AT4G18480,AT4G18465
AT4G18830,AT4G18840
AT4G19000,AT4G19003
AT4G19095,AT4G19100
AT4G19780,AT4G19790
AT4G20030,AT4G20040
AT4G20290,AT4G20300
AT4G20420,AT4G20430
AT4G20760,AT4G20770
AT4G21180,AT4G21190
AT4G21510,AT4G21515
AT4G21800,AT4G21810
AT4G21860,AT4G21865
AT4G22270,AT4G22280
AT4G22310,AT4G22320
AT4G22460,AT4G22463
AT4G22510,AT4G22513
AT4G22520,AT4G22530
AT4G23550,AT4G23560
AT4G23610,AT4G23620
AT4G24010,AT4G24015
AT4G24026,AT4G24030
AT4G24480,AT4G24490
AT4G25660,AT4G25670
AT4G26430,AT4G26440
AT4G26470,AT4G26480
AT4G26680,AT4G26690
AT4G27290,AT4G27300
AT4G29350,AT4G29360
AT4G31010,AT4G31020
AT4G31150,AT4G31160
AT4G31210,AT4G31230
AT4G31280,AT4G31290
AT4G31354,AT4G31355
AT4G31530,AT4G31540
AT4G31740,AT4G31750
AT4G32175,AT4G32180
AT4G32680,AT4G32690
AT4G33290,AT4G33300
AT4G33355,AT4G33360
AT4G33465,AT4G33467
AT4G33630,AT4G33640
AT4G34120,AT4G34131
AT4G34138,AT4G34139
AT4G34340,AT4G34345
AT4G34850,AT4G34860
AT4G35040,AT4G35050
AT4G35410,AT4G35420
AT4G35519,AT4G35520
AT4G35630,AT4G35640
AT4G36760,AT4G36770
AT4G36940,AT4G36945
AT4G36960,AT4G36970
AT4G37040,AT4G37050
AT4G37409,AT4G37410
AT4G37490,AT4G37480
AT4G38000,AT4G38005
AT4G38020,AT4G38030
AT4G38150,AT4G38160
AT4G38225,AT4G38230
AT4G38250,AT4G38260
AT4G38500,AT4G38510
AT4G38560,AT4G38570
AT4G38770,AT4G38775
AT4G39030,AT4G39040
AT4G39060,AT4G39070
AT4G39620,AT4G39630
AT5G01015,AT5G01017
AT5G01570,AT5G01580
AT5G01890,AT5G01895
AT5G02140,AT5G02150
AT5G02560,AT5G02570
AT5G02710,AT5G02720
AT5G03710,AT5G03720
AT5G04238,AT5G04240
AT5G04320,AT5G04330
AT5G04510,AT5G04520
AT5G05085,AT5G05090
AT5G05190,AT5G05200
AT5G05280,AT5G05285
AT5G05470,AT5G05480
AT5G05635,AT5G05640
AT5G05653,AT5G05657
AT5G05670,AT5G05675
AT5G05830,AT5G05840
AT5G06220,AT5G06230
AT5G07240,AT5G07250
AT5G07580,AT5G07590
AT5G07640,AT5G07650
AT5G07940,AT5G07950
AT5G08400,AT5G08390
AT5G08480,AT5G08490
AT5G08780,AT5G08790
AT5G09270,AT5G09280
AT5G09920,AT5G09930
AT5G09990,AT5G09995
AT5G10530,AT5G10540
AT5G10610,AT5G10620
AT5G10695,AT5G10700
AT5G10720,AT5G10730
AT5G10830,AT5G10840
AT5G11810,AT5G11820
AT5G12110,AT5G12120
AT5G13560,AT5G13565
AT5G13660,AT5G13670
AT5G13690,AT5G13700
AT5G14290,AT5G14300
AT5G14430,AT5G14440
AT5G14900,AT5G14910
AT5G15440,AT5G15450
AT5G15530,AT5G15533
AT5G15710,AT5G15720
AT5G16030,AT5G16040
AT5G16150,AT5G16160
AT5G16350,AT5G16360
AT5G16770,AT5G16780
AT5G17280,AT5G17290
AT5G17500,AT5G17510
AT5G17522,AT5G17523
AT5G18140,AT5G18150
AT5G18290,AT5G18300
AT5G18470,AT5G18475
AT5G18700,AT5G18705
AT5G19210,AT5G19220
AT5G19350,AT5G19360
AT5G19670,AT5G19675
AT5G19780,AT5G19790
AT5G20590,AT5G20600
AT5G20640,AT5G20650
AT5G22140,AT5G22145
AT5G22760,AT5G22765
AT5G23908,AT5G23910
AT5G24165,AT5G24170
AT5G24314,AT5G24316
AT5G24620,AT5G24630
AT5G25080,AT5G25090
AT5G25170,AT5G25180
AT5G25310,AT5G25320
AT5G25340,AT5G25350
AT5G25520,AT5G25530
AT5G25630,AT5G25640
AT5G26030,AT5G26040
AT5G26980,AT5G26990
AT5G27200,AT5G27210
AT5G27430,AT5G27440
AT5G27490,AT5G27493
AT5G27550,AT5G27560
AT5G27850,AT5G27860
AT5G28210,AT5G28220
AT5G28232,AT5G28235
AT5G35360,AT5G35370
AT5G37415,AT5G37420
AT5G37630,AT5G37640
AT5G38600,AT5G38610
AT5G38630,AT5G38640
AT5G38660,AT5G38670
AT5G38865,AT5G38870
AT5G39400,AT5G39410
AT5G39770,AT5G39775
AT5G39970,AT5G39980
AT5G40090,AT5G40100
AT5G40410,AT5G40420
AT5G40440,AT5G40450
AT5G41150,AT5G41160
AT5G41850,AT5G41860
AT5G41880,AT5G41890
AT5G42310,AT5G42320
AT5G42480,AT5G42490
AT5G42980,AT5G42990
AT5G43210,AT5G43211
AT5G43770,AT5G43780
AT5G44140,AT5G44150
AT5G44530,AT5G44540
AT5G44930,AT5G44920
AT5G45010,AT5G45020
AT5G46330,AT5G46340
AT5G46700,AT5G46710
AT5G47860,AT5G47870
AT5G48730,AT5G48740
AT5G48965,AT5G48970
AT5G49530,AT5G49540
AT5G49640,AT5G49645
AT5G51105,AT5G51110
AT5G51130,AT5G51140
AT5G51160,AT5G51170
AT5G51580,AT5G51585
AT5G51630,AT5G51640
AT5G51910,AT5G51915
AT5G52840,AT5G52850
AT5G53330,AT5G53340
AT5G53360,AT5G53370
AT5G53920,AT5G53930
AT5G54270,AT5G54280
AT5G55200,AT5G55210
AT5G55810,AT5G55820
AT5G56610,AT5G56620
AT5G56980,AT5G56985
AT5G57820,AT5G57830
AT5G58060,AT5G58070
AT5G58210,AT5G58220
AT5G58300,AT5G58310
AT5G58940,AT5G58950
AT5G59000,AT5G59010
AT5G59230,AT5G59240
AT5G59400,AT5G59410
AT5G59750,AT5G59760
AT5G60510,AT5G60520
AT5G60730,AT5G60740
AT5G61670,AT5G61680
AT5G61920,AT5G61930
AT5G61980,AT5G61990
AT5G62230,AT5G62240
AT5G62540,AT5G62550
AT5G62570,AT5G62573
AT5G63010,AT5G63020
AT5G63300,AT5G63310
AT5G63470,AT5G63480
AT5G63780,AT5G63790
AT5G64395,AT5G64400
AT5G65090,AT5G65100
AT5G65620,AT5G65630
AT5G66340,AT5G66350
AT5G66520,AT5G66530
AT5G67100,AT5G67110
AT5G67130,AT5G67140
AT5G67380,AT5G67385
ATMG01230,ATMG01240
AT1G01310,AT1G01320
AT1G02065,AT1G02067
AT1G02860,AT1G02870
AT1G03030,AT1G03040
AT1G03290,AT1G03300
AT1G03320,AT1G03325
AT1G03390,AT1G03395
AT1G03410,AT1G03420
AT1G03770,AT1G03780
AT1G04230,AT1G04240
AT1G05400,AT1G05410
AT1G06515,AT1G06500
AT1G06790,AT1G06800
AT1G07010,AT1G07020
AT1G07500,AT1G07510
AT1G07560,AT1G07570
AT1G07870,AT1G07850
AT1G08260,AT1G08270
AT1G08830,AT1G08840
AT1G09050,AT1G09060
AT1G09460,AT1G09470
AT1G10490,AT1G10500
AT1G11303,AT1G11310
AT1G12775,AT1G12780
AT1G13140,AT1G13143
AT1G13330,AT1G13340
AT1G13690,AT1G13700
AT1G13930,AT1G13940
AT1G13960,AT1G13970
AT1G14020,AT1G14030
AT1G14390,AT1G14400
AT1G14450,AT1G14453
AT1G15240,AT1G15250
AT1G15410,AT1G15415
AT1G15430,AT1G15440
AT1G15810,AT1G15820
AT1G16000,AT1G16010
AT1G16022,AT1G16025
AT1G16370,AT1G16380
AT1G16740,AT1G16750
AT1G16770,AT1G16780
AT1G17630,AT1G17640
AT1G17750,AT1G17760
AT1G17810,AT1G17820
AT1G17840,AT1G17850
AT1G18870,AT1G18871
AT1G19350,AT1G19360
AT1G19485,AT1G19490
AT1G19540,AT1G19550
AT1G20140,AT1G20150
AT1G20925,AT1G20930
AT1G21160,AT1G21170
AT1G21310,AT1G21313
AT1G21370,AT1G21380
AT1G21430,AT1G21440
AT1G21640,AT1G21650
AT1G22610,AT1G22620
AT1G23290,AT1G23300
AT1G23550,AT1G23560
AT1G23935,AT1G23950
AT1G24030,AT1G24040
AT1G24280,AT1G24290
AT1G24310,AT1G24320
AT1G24340,AT1G24350
AT1G24880,AT1G24822
AT1G26130,AT1G26140
AT1G27640,AT1G27650
AT1G27980,AT1G27990
AT1G28260,AT1G28265
AT1G28530,AT1G28540
AT1G29041,AT1G29050
AT1G29450,AT1G29435
AT1G29670,AT1G29680
AT1G29840,AT1G29850
AT1G30755,AT1G30757
AT1G30800,AT1G30810
AT1G31800,AT1G31810
AT1G32870,AT1G32880
AT1G33770,AT1G33780
AT1G34210,AT1G34220
AT1G36622,AT1G36623
AT1G43850,AT1G43860
AT1G44120,AT1G44130
AT1G47230,AT1G47240
AT1G48350,AT1G48355
AT1G48370,AT1G48380
AT1G48540,AT1G48550
AT1G48725,AT1G48730
AT1G48960,AT1G48970
AT1G49350,AT1G49360
AT1G49990,AT1G50000
AT1G50440,AT1G50450
AT1G51390,AT1G51400
AT1G51540,AT1G51550
AT1G52500,AT1G52510
AT1G52580,AT1G52590
AT1G52820,AT1G52825
AT1G53090,AT1G53100
AT1G53120,AT1G53130
AT1G53490,AT1G53500
AT1G53708,AT1G53710
AT1G54310,AT1G54320
AT1G55090,AT1G55100
AT1G55190,AT1G55200
AT1G55330,AT1G55335
AT1G56220,AT1G56225
AT1G56290,AT1G56300
AT1G56570,AT1G56580
AT1G58220,AT1G58223
AT1G59710,AT1G59720
AT1G60460,AT1G60470
AT1G60650,AT1G60660
AT1G60989,AT1G60990
AT1G61415,AT1G61420
AT1G61440,AT1G61450
AT1G61560,AT1G61562
AT1G61565,AT1G61566
AT1G62600,AT1G62610
AT1G62720,AT1G62730
AT1G63330,AT1G63340
AT1G63980,AT1G63990
AT1G64450,AT1G64455
AT1G64600,AT1G64610
AT1G64640,AT1G64630
AT1G65030,AT1G65032
AT1G65080,AT1G65090
AT1G65350,AT1G65347
AT1G65410,AT1G65420
AT1G65840,AT1G65845
AT1G65960,AT1G65970
AT1G66820,AT1G66830
AT1G67150,AT1G67160
AT1G68080,AT1G68090
AT1G68290,AT1G68300
AT1G68725,AT1G68730
AT1G68940,AT1G68935
AT1G68980,AT1G68990
AT1G69720,AT1G69730
AT1G70170,AT1G70175
AT1G70760,AT1G70770
AT1G71110,AT1G71120
AT1G71250,AT1G71260
AT1G71865,AT1G71866
AT1G72060,AT1G72070
AT1G72180,AT1G72190
AT1G72540,AT1G72545
AT1G73380,AT1G73390
AT1G73690,AT1G73700
AT1G74030,AT1G74035
AT1G74380,AT1G74385
AT1G74430,AT1G74440
AT1G74580,AT1G74590
AT1G74730,AT1G74740
AT1G75335,AT1G75340
AT1G75360,AT1G75370
AT1G76460,AT1G76465
AT1G76850,AT1G76860
AT1G77765,AT1G77770
AT1G78476,AT1G78480
AT1G79480,AT1G79485
AT1G79710,AT1G79720
AT1G79890,AT1G79900
AT1G80310,AT1G80315
AT1G80750,AT1G80760
AT2G01200,AT2G01210
AT2G01270,AT2G01275
AT2G01680,AT2G01690
AT2G01860,AT2G01870
AT2G02490,AT2G02493
AT2G02720,AT2G02730
AT2G02795,AT2G02800
AT2G02955,AT2G02960
AT2G03410,AT2G03420
AT2G03630,AT2G03640
AT2G03821,AT2G03822
AT2G04137,AT2G04038
AT2G06645,AT2G06650
AT2G07692,AT2G07636
AT2G07787,AT2G07658
AT2G07692,AT2G07693
AT2G10405,AT2G10410
AT2G10556,AT2G10557
AT2G10625,AT2G10910
AT2G10965,AT2G10955
AT2G11270,AT2G11271
AT2G12855,AT2G12860
AT2G13550,AT2G13555
AT2G14810,AT2G14820
AT2G16018,AT2G16019
AT2G16360,AT2G16365
AT2G18220,AT2G18230
AT2G18270,AT2G18280
AT2G18390,AT2G18400
AT2G18680,AT2G18685
AT2G18969,AT2G18970
AT2G19180,AT2G19190
AT2G19490,AT2G19500
AT2G19610,AT2G19620
AT2G19670,AT2G19680
AT2G20495,AT2G20500
AT2G20540,AT2G20550
AT2G20710,AT2G20720
AT2G20870,AT2G20873
AT2G20920,AT2G20921
AT2G21340,AT2G21350
AT2G21530,AT2G21540
AT2G21595,AT2G21600
AT2G21730,AT2G21740
AT2G22460,AT2G22465
AT2G22610,AT2G22620
AT2G22940,AT2G22941
AT2G23118,AT2G23120
AT2G23460,AT2G23470
AT2G23980,AT2G23985
AT2G24420,AT2G24430
AT2G24480,AT2G24490
AT2G24670,AT2G24680
AT2G25530,AT2G25540
AT2G25605,AT2G25610
AT2G25650,AT2G25660
AT2G25840,AT2G25850
AT2G25880,AT2G25890
AT2G25930,AT2G25940
AT2G27150,AT2G27160
AT2G27389,AT2G27390
AT2G27480,AT2G27490
AT2G27505,AT2G27507
AT2G28670,AT2G28671
AT2G28930,AT2G28940
AT2G29540,AT2G29550
AT2G29920,AT2G29925
AT2G30600,AT2G30615
AT2G30690,AT2G30695
AT2G30766,AT2G30770
AT2G30820,AT2G30830
AT2G31090,AT2G31100
AT2G31260,AT2G31265
AT2G31380,AT2G31390
AT2G31790,AT2G31800
AT2G31820,AT2G31830
AT2G31900,AT2G31910
AT2G31953,AT2G31955
AT2G32410,AT2G32415
AT2G32470,AT2G32480
AT2G32710,AT2G32720
AT2G33390,AT2G33400
AT2G33490,AT2G33500
AT2G33520,AT2G33530
AT2G34110,AT2G34090
AT2G34185,AT2G34186
AT2G34460,AT2G34470
AT2G34780,AT2G34790
AT2G35765,AT2G35770
AT2G36010,AT2G36020
AT2G36650,AT2G36660
AT2G37140,AT2G37150
AT2G37280,AT2G37290
AT2G37530,AT2G37540
AT2G37690,AT2G37700
AT2G37910,AT2G37920
AT2G38330,AT2G38340
AT2G39270,AT2G39280
AT2G39375,AT2G39380
AT2G39518,AT2G39520
AT2G39820,AT2G39830
AT2G39975,AT2G39980
AT2G40435,AT2G40440
AT2G40630,AT2G40640
AT2G40770,AT2G40780
AT2G40850,AT2G40860
AT2G41110,AT2G41120
AT2G41540,AT2G41550
AT2G41760,AT2G41770
AT2G42220,AT2G42230
AT2G42520,AT2G42530
AT2G42680,AT2G42690
AT2G42920,AT2G42930
AT2G43480,AT2G43490
