id1	id2	promoterdis	length1	length2	overlap	overlapc
AT5G27944	AT5G27945	585	675	1595	585	A
AT2G20870	AT2G20873	586	720	72	71	B
AT2G06645	AT2G06650	589	1657	3033	589	A
AT2G27389	AT2G27390	594	788	405	404	B
AT5G18290	AT5G18300	595	3341	444	443	B
AT1G07500	AT1G07510	596	266	7965	265	B
AT1G68937	AT1G68940	606	754	4623	606	A
AT3G06435	AT3G06436	606	2659	657	606	A
AT2G47200	AT2G47210	612	757	4718	612	A
AT2G23980	AT2G23985	620	4319	1606	620	A
AT2G13550	AT2G13555	623	1519	504	503	B
AT2G22460	AT2G22465	629	1095	430	429	B
AT2G30760	AT2G30766	638	2452	2898	638	A
AT3G02780	AT3G02790	661	3106	493	492	B
AT4G22460	AT4G22463	662	700	575	574	B
AT1G23980	AT1G23985	665	1300	1693	665	A
AT5G66052	AT5G66053	681	788	147	146	B
AT4G17243	AT4G17245	684	839	678	677	B
AT1G26880	AT1G26890	688	2973	1658	688	A
AT2G04137	AT2G04038	689	426	501	236	A
AT3G52070	AT3G52075	702	749	174	173	B
ATMG01230	ATMG01240	708	438	303	31	A
AT5G07571	AT5G07572	715	992	841	715	A
AT5G49640	AT5G49645	719	680	717	676	A
AT5G10430	AT5G10435	724	775	585	584	B
AT4G00163	AT4G00165	730	733	598	597	B
AT1G55365	AT1G55370	735	1049	2682	735	A
AT1G03390	AT1G03395	741	1386	482	481	B
AT5G51910	AT5G51915	745	1345	174	173	B
AT4G38000	AT4G38005	753	975	231	230	B
AT5G38660	AT5G38670	767	5654	1086	767	A
AT3G44430	AT3G44435	776	1314	429	428	B
AT1G30755	AT1G30757	780	4030	805	780	A
AT2G02450	AT2G02455	784	2924	808	784	A
AT3G62690	AT3G62695	787	1335	201	200	B
AT3G19613	AT3G19615	815	1491	438	437	B
AT2G11270	AT2G11271	819	849	126	125	B
AT3G27415	AT3G27416	826	927	522	521	B
AT3G25013	AT3G25014	832	2799	162	161	B
AT4G04470	AT4G04480	836	2825	1203	836	A
AT5G51580	AT5G51585	842	958	792	791	B
AT1G80310	AT1G80315	847	1669	1035	847	A
AT1G64790	AT1G64795	849	18607	270	269	B
AT2G03823	AT2G03821	852	139	904	138	B
AT5G61930	AT5G61940	867	3727	5010	867	A
AT2G25880	AT2G25890	888	3540	877	876	B
AT5G61490	AT5G61495	888	1228	718	717	B
AT5G57567	AT5G57569	891	876	373	356	A
AT2G10556	AT2G10557	892	793	174	73	A
AT5G38396	AT5G38397	896	1633	364	363	B
AT4G23960	AT4G23970	915	1140	303	302	B
AT1G72540	AT1G72545	929	1793	678	677	B
AT3G53235	AT3G53240	929	858	5413	857	B
AT1G55940	AT1G55945	936	2246	593	592	B
AT3G59400	AT3G59410	945	1296	10560	945	A
AT2G29480	AT2G29485	975	1124	849	848	B
AT3G58100	AT3G58110	994	2570	2968	994	A
AT4G12550	AT4G12555	1001	654	953	604	A
AT5G41109	AT5G41110	1002	141	3515	140	B
AT2G29920	AT2G29925	1007	961	426	378	A
AT2G02490	AT2G02493	1014	1244	914	913	B
AT1G03410	AT1G03420	1019	3248	1076	1019	A
AT3G26350	AT3G26355	1020	1836	64	63	B
AT3G20898	AT3G20900	1035	1000	687	650	A
AT1G28000	AT1G28005	1036	1290	965	964	B
AT5G54040	AT5G54043	1049	1791	258	257	B
AT2G41750	AT2G41760	1058	1193	2683	1058	A
AT1G63615	AT1G63630	1059	1138	1417	1059	A
AT4G03500	AT4G03490	1067	3613	4984	1067	A
AT3G19550	AT3G19552	1072	1298	579	578	B
AT3G49550	AT3G49551	1091	1004	168	79	A
AT5G06640	AT5G06645	1095	2215	692	691	B
AT4G32530	AT4G32535	1096	1848	653	652	B
AT4G38770	AT4G38775	1103	1751	513	512	B
AT3G63093	AT3G63095	1109	1531	753	752	B
AT1G64450	AT1G64455	1116	1283	655	654	B
AT2G35930	AT2G35935	1118	1616	988	987	B
AT3G01470	AT3G01475	1118	1902	612	611	B
AT1G36622	AT1G36623	1122	1335	290	289	B
AT1G79480	AT1G79485	1123	2008	348	347	B
AT3G26510	AT3G26512	1131	2575	496	495	B
AT2G07692	AT2G07636	1147	839	664	354	A
AT5G10695	AT5G10700	1152	445	849	140	A
AT4G19645	AT4G19650	1157	3074	4325	1157	A
AT5G59890	AT5G59895	1163	1372	183	182	B
AT2G05753	AT2G05755	1176	547	3184	546	B
AT3G17650	AT3G17655	1224	2927	1376	1224	A
AT3G62610	AT3G62615	1224	1956	495	494	B
AT5G05085	AT5G05090	1225	1356	1136	1135	B
AT5G53810	AT5G53815	1227	2871	435	434	B
AT3G06868	AT3G06870	1230	1393	1114	1113	B
AT2G04378	AT2G04380	1233	1847	1126	1125	B
AT4G00889	AT4G00890	1256	1089	1401	1088	B
AT5G56980	AT5G56985	1267	1473	429	428	B
AT2G44993	AT2G45000	1271	1402	3716	1271	A
AT1G21310	AT1G21313	1276	1744	522	521	B
AT5G38865	AT5G38870	1287	862	658	231	A
AT4G18215	AT4G18220	1290	2728	1680	1290	A
AT5G14290	AT5G14300	1299	2305	922	921	B
AT1G13140	AT1G13143	1302	1944	685	684	B
AT1G53970	AT1G53980	1309	1331	830	829	B
AT5G22140	AT5G22145	1313	1614	603	602	B
AT5G12440	AT5G12450	1317	7074	240	239	B
AT5G43210	AT5G43211	1321	1182	165	24	A
AT1G48350	AT1G48355	1328	1100	416	186	A
AT4G34340	AT4G34345	1344	1540	508	507	B
AT1G74380	AT1G74385	1348	1831	246	245	B
AT2G13430	AT2G13431	1362	1371	695	694	B
AT3G02970	AT3G02975	1392	1570	352	351	B
AT2G22940	AT2G22941	1396	1808	521	520	B
AT1G12310	AT1G12320	1403	1375	3719	1374	B
AT4G30660	AT4G30662	1411	687	882	156	A
AT3G01950	AT3G01960	1412	545	1492	544	B
AT3G58865	AT3G58875	1419	945	941	465	A
AT5G13290	AT5G13295	1425	2537	369	368	B
AT2G10405	AT2G10410	1442	538	1027	121	A
AT1G53480	AT1G53490	1445	1666	3686	1445	A
AT2G34325	AT2G34330	1461	1476	863	862	B
AT1G70170	AT1G70175	1466	1483	488	487	B
AT4G33465	AT4G33467	1487	1243	617	371	A
AT3G63210	AT3G63215	1489	1967	350	349	B
AT4G01895	AT4G01897	1523	423	1140	38	A
AT5G27490	AT5G27493	1549	1909	353	352	B
AT5G65610	AT5G65613	1573	1587	488	487	B
AT2G07655	AT2G07776	1578	881	883	184	A
AT2G11850	AT2G11851	1582	847	4070	846	B
AT3G27830	AT3G27831	1585	1409	612	434	A
AT1G14755	AT1G14760	1587	667	949	27	A
AT5G15760	AT5G15770	1593	1617	567	566	B
AT5G01890	AT5G01895	1598	3309	634	633	B
AT1G80160	AT1G80165	1604	1718	351	350	B
AT2G34185	AT2G34186	1610	1977	96	95	B
AT4G20830	AT4G20835	1649	2240	1570	1569	B
AT2G37910	AT2G37920	1672	699	1732	698	B
AT2G29430	AT2G29440	1677	474	1602	397	A
AT3G45170	AT3G45180	1706	768	1008	68	A
AT1G63380	AT1G63390	1717	1261	507	49	A
AT2G46200	AT2G46210	1717	4695	1966	1717	A
AT5G20640	AT5G20650	1727	1126	624	21	A
AT3G52530	AT3G52526	1731	1564	3079	1563	B
AT1G72060	AT1G72070	1741	835	1298	390	A
AT5G61650	AT5G61660	1754	1799	1293	1292	B
AT1G08250	AT1G08260	1755	1834	18039	1755	A
AT1G29535	AT1G29540	1770	1979	760	759	B
AT3G03740	AT3G03750	1770	4793	2195	1770	A
AT2G20920	AT2G20921	1778	1624	204	48	A
AT5G23030	AT5G23035	1782	1668	530	414	A
AT1G68585	AT1G68590	1811	964	1008	159	A
AT4G22520	AT4G22530	1812	357	1983	356	B
AT5G09990	AT5G09995	1812	531	1336	53	A
AT2G40160	AT2G40165	1814	2086	1645	1644	B
AT3G20670	AT3G20680	1814	695	1155	34	A
AT5G17522	AT5G17523	1815	812	1765	760	A
AT1G14150	AT1G14160	1818	891	1009	80	A
AT3G32380	AT3G32383	1837	192	3867	191	B
AT2G07729	AT2G07656	1848	865	3168	864	B
AT4G00525	AT4G00530	1862	1160	717	13	A
AT5G05365	AT5G05370	1867	826	1086	43	A
AT3G22670	AT3G22680	1869	1824	2876	1823	B
AT4G34138	AT4G34139	1869	1832	1015	976	A
AT3G25490	AT3G25493	1875	1761	505	389	A
AT4G22495	AT4G22505	1875	1883	1799	1798	B
AT1G06530	AT1G06540	1876	1120	2041	1119	B
AT1G52820	AT1G52825	1880	1237	665	20	A
AT4G18395	AT4G18400	1888	546	1408	64	A
AT1G06320	AT1G06330	1906	927	1201	220	A
AT5G51105	AT5G51110	1914	545	1988	544	B
AT1G68725	AT1G68730	1914	981	1027	92	A
AT5G41680	AT5G41685	1923	1721	476	272	A
AT5G15530	AT5G15533	1929	1751	180	0	A
AT5G02560	AT5G02570	1951	1992	522	521	B
AT3G07590	AT3G07600	1971	1544	906	477	A
AT1G24880	AT1G24822	1981	2172	2886	1981	A
AT4G12850	AT4G12860	1989	2136	459	458	B
AT1G71740	AT1G71750	1992	586	1409	1	A
AT3G18915	AT3G18930	1993	517	2666	516	B
AT1G73440	AT1G73445	1996	1462	735	199	A
AT1G02065	AT1G02067	2001	2279	222	221	B
AT4G28280	AT4G28290	2012	2016	1618	1617	B
AT4G16400	AT4G16410	2022	2107	687	686	B
AT3G55890	AT3G55900	2043	1832	488	275	A
AT2G48070	AT2G48075	2052	1751	852	549	A
AT2G31090	AT2G31100	2085	978	1439	330	A
AT3G63255	AT3G63260	2085	676	2056	645	A
AT4G37409	AT4G37410	2087	2143	2061	2060	B
AT1G49225	AT1G49230	2097	5079	839	838	B
AT1G26290	AT1G26300	2116	1322	3923	1321	B
AT2G22088	AT2G22090	2122	666	2144	665	B
AT1G76750	AT1G76760	2124	682	1480	36	A
AT4G10100	AT4G10110	2124	781	1462	117	A
AT2G41110	AT2G41120	2138	1117	1130	107	A
AT3G16040	AT3G16050	2140	872	1270	0	A
AT2G43550	AT2G43560	2145	609	1558	20	A
AT2G28670	AT2G28671	2155	2094	1834	1771	A
AT4G18197	AT4G18203	2178	2077	916	813	A
AT3G55250	AT3G55252	2201	1619	595	11	A
AT1G74055	AT1G74060	2207	586	2221	585	B
AT5G24314	AT5G24316	2225	1445	794	12	A
AT3G24100	AT3G24110	2228	934	1315	19	A
AT5G05670	AT5G05675	2230	2408	232	231	B
AT1G48285	AT1G48290	2232	551	2240	550	B
AT2G01400	AT2G01410	2239	1450	1296	505	A
AT4G31354	AT4G31355	2240	2743	879	878	B
AT5G59230	AT5G59240	2247	962	1306	19	A
AT5G61620	AT5G61630	2252	1182	1350	278	A
AT1G51390	AT1G51400	2253	1797	481	23	A
AT2G32645	AT2G32650	2257	1677	992	410	A
AT2G35550	AT2G35555	2261	1656	847	240	A
AT3G18773	AT3G18775	2267	1428	1685	844	A
AT4G22475	AT4G22485	2288	2389	2150	2149	B
AT2G41340	AT2G41342	2304	2350	523	522	B
AT2G04620	AT2G04621	2308	2599	686	685	B
AT3G23350	AT3G23360	2316	1334	1156	172	A
AT3G54420	AT3G54430	2316	2362	1596	1595	B
AT4G00760	AT4G00770	2320	6453	2321	2320	A
AT2G07787	AT2G07658	2323	1832	1615	1122	A
AT5G58640	AT5G58650	2338	1786	556	2	A
AT1G69325	AT1G69330	2343	701	1857	213	A
AT1G71865	AT1G71866	2345	1445	1035	133	A
AT2G01860	AT2G01870	2345	1790	936	379	A
AT1G50520	AT1G50530	2351	1842	518	7	A
AT5G02065	AT5G02070	2351	2466	2326	2325	B
AT5G10600	AT5G10605	2355	1858	2197	1698	A
AT4G16190	AT4G16195	2370	2388	486	485	B
AT2G03410	AT2G03420	2371	2412	2413	2371	A
AT5G40981	AT5G40970	2373	254	2227	106	A
AT1G65350	AT1G65347	2378	4758	794	793	B
AT1G78476	AT1G78480	2381	2303	863	783	A
AT2G33450	AT2G33460	2382	908	1822	346	A
AT4G33355	AT4G33360	2387	834	1569	14	A
AT1G01160	AT1G01170	2392	1706	738	50	A
AT5G18140	AT5G18150	2404	2393	716	703	A
AT3G04890	AT3G04900	2405	2564	717	716	B
AT1G74670	AT1G74675	2407	1120	1494	205	A
AT5G42290	AT5G42300	2411	619	2413	618	B
AT2G18390	AT2G18400	2413	1361	1081	27	A
AT5G04750	AT5G04760	2415	1385	1060	28	A
AT1G32600	AT1G32610	2419	882	1613	74	A
AT1G24470	AT1G24475	2429	2495	62	61	B
AT5G57760	AT5G57770	2433	551	2287	403	A
AT3G28630	AT3G28635	2440	1948	2079	1585	A
AT5G40155	AT5G40160	2452	658	1868	72	A
AT4G03140	AT4G03150	2453	1722	913	180	A
AT2G21730	AT2G21740	2456	2248	402	192	A
AT2G39975	AT2G39980	2465	532	2510	531	B
AT3G17760	AT3G17765	2471	2629	1585	1584	B
AT5G54165	AT5G54170	2476	396	2165	83	A
AT3G07500	AT3G07510	2478	1563	1009	92	A
AT5G02710	AT5G02720	2482	1890	1610	1016	A
AT5G58250	AT5G58260	2492	1270	1434	210	A
AT3G52105	AT3G52110	2495	670	1900	73	A
AT3G16980	AT3G16990	2501	1436	1771	704	A
AT1G19540	AT1G19550	2505	2638	708	707	B
AT1G74030	AT1G74035	2506	2722	333	332	B
AT3G04300	AT3G04310	2523	932	1610	17	A
AT5G48200	AT5G48205	2532	2016	1781	1263	A
AT1G61565	AT1G61566	2535	2521	551	535	A
AT3G04440	AT3G04443	2540	1967	2698	1966	B
AT5G58790	AT5G58800	2542	1252	1378	86	A
AT4G30845	AT4G30850	2551	566	2247	260	A
AT3G27809	AT3G27810	2554	987	4644	986	B
AT4G10910	AT4G10920	2554	744	2555	743	A
AT2G39375	AT2G39380	2569	2667	2078	2077	B
AT1G75780	AT1G75785	2575	2588	639	638	B
AT3G19680	AT3G19690	2575	2040	637	100	A
AT4G37480	AT4G37483	2586	2706	228	227	B
AT5G19670	AT5G19675	2597	2780	241	240	B
AT5G57820	AT5G57830	2597	746	1908	55	A
AT5G11810	AT5G11820	2602	2071	632	99	A
AT5G51380	AT5G51390	2602	2158	453	7	A
AT4G22510	AT4G22513	2608	2622	526	525	B
AT2G42920	AT2G42930	2617	4812	405	404	B
AT3G01830	AT3G01840	2624	3240	2067	2066	B
AT2G25950	AT2G25964	2627	2013	649	33	A
AT5G41860	AT5G41870	2642	768	1899	23	A
AT5G15840	AT5G15843	2669	2924	1967	1966	B
AT1G68290	AT1G68300	2670	1768	997	93	A
AT4G23610	AT4G23620	2676	805	1940	67	A
AT1G52580	AT1G52590	2676	1450	1270	42	A
AT3G10400	AT3G10405	2681	1092	2833	1091	B
AT1G13690	AT1G13700	2693	1024	1672	1	A
AT5G60220	AT5G60230	2693	1198	1606	109	A
AT1G53550	AT1G53560	2701	1227	1571	95	A
AT5G43770	AT5G43780	2702	678	2092	66	A
AT1G29450	AT1G29435	2705	1043	1695	31	A
AT3G52470	AT3G52480	2706	1477	1262	31	A
AT5G47670	AT5G47680	2708	1392	1319	1	A
AT1G06515	AT1G06500	2713	1548	1259	92	A
AT3G61080	AT3G61090	2721	1967	814	58	A
AT4G25140	AT4G25150	2721	1148	1618	43	A
AT3G54080	AT3G54085	2724	1756	1411	441	A
AT1G02420	AT1G02430	2745	1572	1283	108	A
AT5G64400	AT5G64401	2746	2975	162	161	B
AT1G56220	AT1G56225	2757	2048	953	242	A
AT5G63300	AT5G63310	2764	927	1933	94	A
AT1G01380	AT1G01390	2771	972	1812	11	A
AT5G09270	AT5G09280	2771	2056	1175	458	A
AT1G20065	AT1G20070	2774	1702	1139	65	A
AT3G15920	AT3G15930	2775	6625	2247	2246	B
AT1G53120	AT1G53130	2793	2028	822	55	A
AT5G18210	AT5G18220	2793	1123	1677	5	A
AT5G58560	AT5G58570	2796	2365	593	160	A
AT5G60510	AT5G60520	2806	1431	1475	98	A
AT3G22183	AT3G22190	2809	243	3028	242	B
AT2G40435	AT2G40440	2813	2477	369	31	A
AT2G42680	AT2G42690	2814	1390	1463	37	A
AT4G20030	AT4G20040	2829	1107	1817	93	A
AT1G08310	AT1G08315	2842	1806	1093	55	A
AT4G38250	AT4G38260	2849	1576	1335	60	A
AT2G34460	AT2G34470	2860	1216	1751	105	A
AT5G55200	AT5G55210	2873	2023	909	57	A
AT1G65030	AT1G65032	2873	1908	986	19	A
AT5G01570	AT5G01580	2878	1825	1093	38	A
AT1G13800	AT1G13805	2882	3475	69	68	B
AT1G52330	AT1G52340	2882	1160	1754	30	A
AT3G01250	AT3G01260	2885	877	2180	170	A
AT5G02140	AT5G02150	2885	1236	1788	137	A
AT3G17611	AT3G17620	2899	1762	1249	110	A
AT2G24440	AT2G24450	2901	2860	1190	1147	A
AT2G32470	AT2G32480	2901	1723	1553	373	A
AT2G43340	AT2G43350	2902	964	1956	16	A
AT3G15190	AT3G15200	2905	1388	1572	53	A
AT5G20447	AT5G20450	2906	99	2809	0	A
AT4G28310	AT4G28320	2915	810	2130	23	A
AT1G17860	AT1G17870	2921	715	2284	76	A
AT3G27750	AT3G27770	2927	1067	2072	210	A
AT4G38092	AT4G38100	2928	1619	1330	19	A
AT5G05730	AT5G05735	2934	3309	201	200	B
AT3G57360	AT3G57370	2935	1500	1743	306	A
AT5G44140	AT5G44150	2937	1176	1798	35	A
AT5G19780	AT5G19790	2947	2063	942	56	A
AT5G02120	AT5G02130	2947	608	2411	70	A
AT4G13160	AT4G13170	2949	1322	3001	1321	B
AT5G27200	AT5G27210	2950	1029	2070	147	A
AT4G14520	AT4G14530	2955	2019	961	23	A
AT3G48320	AT3G48330	2957	1675	1346	62	A
AT3G58710	AT3G58720	2960	1859	1454	351	A
AT1G49120	AT1G49130	2962	990	2017	43	A
AT5G12380	AT5G12390	2966	1520	1692	244	A
AT4G18370	AT4G18372	2968	2024	1021	75	A
AT2G41510	AT2G41515	2972	2943	2087	2056	A
AT3G01990	AT3G02000	2973	3034	798	797	B
AT4G00650	AT4G00651	2978	2603	393	16	A
AT2G47780	AT2G47790	2987	995	2040	46	A
AT3G52030	AT3G52040	3003	2444	596	35	A
AT1G48725	AT1G48730	3003	1369	1941	305	A
AT2G12855	AT2G12860	3010	636	2491	115	A
AT2G35765	AT2G35770	3019	555	2520	54	A
AT1G05750	AT1G05760	3025	3226	801	800	B
AT5G15290	AT5G15300	3034	1082	1957	3	A
AT2G17690	AT2G17695	3040	1922	2422	1302	A
AT3G13530	AT3G13540	3040	11313	1792	1791	B
AT1G76050	AT1G76060	3044	2358	756	68	A
AT2G20820	AT2G20825	3044	1370	1688	12	A
AT1G66820	AT1G66830	3050	741	3040	729	A
AT2G37530	AT2G37540	3052	758	2359	63	A
AT5G10530	AT5G10540	3056	3045	10160	3044	B
AT5G17580	AT5G17590	3059	2977	844	760	A
AT2G33300	AT2G33310	3064	1176	3065	1175	A
AT1G23290	AT1G23300	3064	568	3110	567	B
AT5G67300	AT5G67310	3064	1985	1871	790	A
AT5G59400	AT5G59410	3069	1896	1218	43	A
AT1G07010	AT1G07020	3078	2311	786	17	A
AT2G20495	AT2G20500	3087	2306	925	142	A
AT4G00850	AT4G00860	3092	1993	1101	0	A
