divanti_lncRNA,mRNA
AT3G03995,AT3G20700
AT3G04065,AT3G21210
AT3G05135,AT3G26960
AT3G05395,AT3G28153
AT3G05855,AT3G29631
AT3G05885,AT3G29639
AT3G06075,AT3G30739
AT3G06265,AT3G32050
AT3G06575,AT3G43291
AT3G06675,AT3G43830
AT3G06935,AT3G44810
AT3G06975,AT3G45130
AT3G07855,AT3G48030
AT3G08055,AT3G49300
AT3G08265,AT3G52527
AT3G08330,AT3G53150
AT3G08415,AT3G54760
AT3G09075,AT3G58090
AT3G09095,AT3G58120
AT3G09115,AT3G58330
AT3G09255,AT3G59910
AT3G01125,AT3G02280
AT3G01255,AT3G03510
AT3G01395,AT3G04110
AT3G02195,AT3G09350
AT3G02595,AT3G12860
AT3G02695,AT3G13432
AT3G02905,AT3G14290
AT3G03375,AT3G16830
AT3G03595,AT3G17900
AT3G03675,AT3G18370
AT3G03915,AT3G19870
AT3G04215,AT3G22020
AT3G04335,AT3G22942
AT3G04555,AT3G23610
AT3G04815,AT3G24780
AT3G05745,AT3G29577
AT3G06285,AT3G32383
AT3G06815,AT3G44425
AT3G06845,AT3G44540
AT3G07085,AT3G45250
AT3G07245,AT3G45710
AT3G07405,AT3G46340
AT3G07655,AT3G47210
AT3G08175,AT3G51080
AT3G08185,AT3G51180
AT3G08335,AT3G53300
AT3G08380,AT3G54280
AT3G08395,AT3G54450
AT3G08535,AT3G55590
AT3G09015,AT3G57850
AT3G09355,AT3G60110
AT3G09545,AT3G60970
AT3G09695,AT3G61700
AT4G04195,AT4G02530
AT4G04535,AT4G03340
AT4G05545,AT4G08470
AT4G05845,AT4G11080
AT4G05950,AT4G12050
AT4G06145,AT4G13885
AT4G06400,AT4G16620
AT4G06460,AT4G16930
AT4G06675,AT4G17160
AT4G06845,AT4G18780
AT4G07025,AT4G21680
AT4G07070,AT4G22320
AT4G07160,AT4G23580
AT4G07465,AT4G25870
AT4G07745,AT4G27050
AT4G07785,AT4G27110
AT4G07865,AT4G27510
AT4G08085,AT4G29305
AT4G08355,AT4G30790
AT4G09825,AT4G39180
AT4G09995,AT4G40090
AT4G03575,AT4G00310
AT4G03785,AT4G00930
AT4G03875,AT4G01490
AT4G04305,AT4G02880
AT4G04755,AT4G03825
AT4G04785,AT4G04150
AT4G04805,AT4G04293
AT4G05085,AT4G05310
AT4G05875,AT4G11320
AT4G06900,AT4G19590
AT4G07250,AT4G24240
AT4G08495,AT4G31350
AT4G08635,AT4G32010
AT4G09905,AT4G39756
AT4G09935,AT4G39850
AT5G00810,AT5G01890
AT5G00970,AT5G04530
AT5G01115,AT5G05800
AT5G01405,AT5G07475
AT5G01725,AT5G10320
AT5G01955,AT5G13140
AT5G02835,AT5G18010
AT5G03075,AT5G19340
AT5G03125,AT5G20470
AT5G03595,AT5G23405
AT5G04075,AT5G25756
AT5G04125,AT5G25830
AT5G05235,AT5G35555
AT5G05325,AT5G36150
AT5G05665,AT5G38250
AT5G05705,AT5G38320
AT5G05925,AT5G39410
AT5G06015,AT5G40350
AT5G06425,AT5G42940
AT5G06435,AT5G43035
AT5G06515,AT5G43440
AT5G06785,AT5G46240
AT5G06795,AT5G46270
AT5G08225,AT5G54610
AT5G08435,AT5G56210
AT5G08715,AT5G57560
AT5G08775,AT5G57780
AT5G08935,AT5G59840
AT5G09545,AT5G65970
AT5G09695,AT5G66730
AT5G09815,AT5G66960
AT5G09915,AT5G67420
AT5G00745,AT5G01240
AT5G00910,AT5G03320
AT5G00995,AT5G04770
AT5G01045,AT5G05270
AT5G01395,AT5G07430
AT5G01795,AT5G10600
AT5G01925,AT5G12050
AT5G02055,AT5G13230
AT5G02275,AT5G14650
AT5G02865,AT5G18030
AT5G03025,AT5G19170
AT5G03045,AT5G19180
AT5G04435,AT5G27730
AT5G04495,AT5G27765
AT5G05645,AT5G38230
AT5G06065,AT5G40460
AT5G06615,AT5G44590
AT5G07255,AT5G48730
AT5G07325,AT5G49060
AT5G09025,AT5G61720
AT5G09190,AT5G64450
AT5G09200,AT5G64530
AT5G09215,AT5G64687
AT5G09425,AT5G65670
AT5G09705,AT5G66770
AT5G09715,AT5G66816
AT5G09775,AT5G66820
AT1G01448,AT1G01440
AT1G07119,AT1G07110
AT1G09421,AT1G09415
AT1G16489,AT1G16480
AT1G20515,AT1G20510
AT1G33415,AT1G33410
AT1G48315,AT1G48310
AT1G48698,AT1G48690
AT1G67365,AT1G67360
AT1G67792,AT1G67785
AT1G04833,AT1G11060
AT1G15175,AT1G15180
AT1G17232,AT1G17235
AT1G18415,AT1G18440
AT1G20691,AT1G20693
AT1G26218,AT1G26225
AT1G06207,AT1G29041
AT1G29357,AT1G29360
AT1G07733,AT1G51402
AT1G54355,AT1G54360
AT1G56165,AT1G56170
AT1G74205,AT1G74210
AT1G74545,AT1G74550
AT2G05245,AT2G07691
AT2G26355,AT2G26350
AT2G35738,AT2G35736
AT2G32315,AT2G32320
AT2G33051,AT2G33060
AT3G54625,AT3G54620
AT3G13061,AT3G13062
AT3G03955,AT3G20220
AT3G51075,AT3G51080
AT3G52072,AT3G52080
AT4G01593,AT4G01590
AT4G25719,AT4G25710
AT4G26582,AT4G26580
AT4G34071,AT4G34070
AT4G36032,AT4G36020
AT4G26795,AT4G26800
AT4G28162,AT4G28170
AT4G38545,AT4G38550
AT4G38552,AT4G38560
AT4G38932,AT4G38940
AT5G15022,AT5G15020
AT5G48775,AT5G48760
AT5G53048,AT5G53045
AT5G09155,AT5G63310
AT5G06865,AT5G06870
AT5G09443,AT5G09450
AT5G20225,AT5G20230
AT5G08275,AT5G55460
